;SEASON;PLAYER_ID;PLAYER_NAME;POSITION;HEIGHT_WO_SHOES;HEIGHT_W_SHOES;WEIGHT;WINGSPAN;STANDING_REACH;BODY_FAT_PCT;HAND_LENGTH;HAND_WIDTH;STANDING_VERTICAL_LEAP;MAX_VERTICAL_LEAP;LANE_AGILITY_TIME;MODIFIED_LANE_AGILITY_TIME;THREE_QUARTER_SPRINT
42;2018;1629001;DeAnthony Melton;SG-PG;1.89;1.91;87.63;2.04;2.53;5.2;0.22;0.24;0.79;0.93;11.48;3.33;3.23
43;2018;1629002;Chimezie Metu;PF-C;2.04;2.07;99.61;2.15;2.74;5.05;0.23;0.23;0.75;0.91;11.89;3.25;3.33
44;2018;1629003;Shake Milton;SG-PG;1.94;1.97;93.98;2.15;2.53;6.8;0.22;0.24;0.76;0.84;11.07;3.19;3.25
45;2018;1629004;Sviatoslav Mykhailiuk;SG-SF;1.99;2.03;95.98;1.95;2.54;8.45;0.21;0.24;0.77;0.94;11.25;3.18;3.15
46;2018;1629005;Malik Newman;SG;1.89;1.91;85.82;1.97;2.5;6.25;0.22;0.24;0.7;0.85;10.9;3.18;3.13
47;2018;1629006;Josh Okogie;SG;1.9;1.94;95.62;2.13;2.59;5.2;0.23;0.25;0.84;1.07;11.08;3.03;3.04
48;2018;1629033;Theo Pinson;SG-SF;1.96;2.0;95.8;2.1;2.63;7.35;0.23;0.23;0.69;0.86;11.53;3.11;3.22
49;2018;1629007;Jontay Porter;C-PF;2.08;2.12;107.05;2.14;2.77;13.85;0.22;0.24;0.65;0.79;11.9;3.07;3.4
50;2018;1629008;Michael Porter;SF-PF;2.07;2.1;95.71;2.14;2.76;6.4;0.22;0.23;-;-;-;-;-
51;2018;1629009;Billy Preston;PF;2.05;2.1;100.88;2.18;2.74;5.45;0.23;0.24;0.64;0.84;11.26;3.35;3.2
52;2018;1629010;Jerome Robinson;SG;1.93;1.96;85.46;2.01;2.49;6.05;0.23;0.25;-;-;-;-;-
53;2018;1629012;Collin Sexton;PG;1.84;1.87;83.01;2.01;2.5;5.6;0.21;0.22;-;-;-;-;-
54;2018;1629013;Landry Shamet;PG;1.93;1.96;85.55;2.0;2.54;4.85;0.2;0.23;0.79;1.0;11.26;3.21;3.11
55;2018;1629014;Anfernee Simons;SG-PG;1.89;1.91;83.1;2.06;2.53;7.7;0.22;0.23;0.81;1.05;11.27;3.16;3.1
56;2018;1629015;Zhaire Smith;SF-SG;1.9;1.93;90.08;2.08;2.54;6.05;0.22;0.21;0.84;1.05;11.02;3.15;3.05
57;2018;1629034;Ray Spalding;PF;2.06;2.09;97.7;2.25;2.77;5.55;0.23;0.23;0.66;0.81;11.48;3.2;3.34
58;2018;1629016;Omari Spellman;PF-C;2.03;2.06;115.12;2.18;2.73;13.75;0.23;0.23;0.72;0.9;12.28;3.35;3.38
59;2018;1629017;Khyri Thomas;SG;1.89;1.92;90.17;2.1;2.57;6.4;0.22;0.23;0.76;0.89;10.96;3.18;3.18
60;2018;1629018;Gary Trent;SG;1.94;1.97;92.62;2.05;2.49;7.0;0.22;0.24;0.85;1.0;11.37;2.99;3.12
61;2018;1629019;Allonzo Trier;SG;1.92;1.96;89.81;2.0;2.49;4.95;0.21;0.27;0.81;1.02;11.02;2.97;3.14
